especie,rotacao,regiao,fazenda,projeto,estrato,talhao,idade,ano,pagina,arvore,dap,ht,vol,voltot
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,1,8.91,13.45,37.450828,38
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,2,7.64,13.46,26.572109,28.2
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,3,7.96,12.5,27.536951,28.6
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,4,9.23,13.9,35.508538,36.7
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,5,8.91,13.71,35.44445,36.8
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,6,7.96,10.88,25.602453,26.2
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,7,8.59,13.11,33.192265,33.8
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,8,8.91,13.41,37.118345,38.1
E.grandis,1,Salto,2,92,204,10,2.2,94,354309,9,8.28,12.28,25.69469,27
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,1,10.19,13.95,49.867741,50.6
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,2,10.5,14.61,50.666094,51.8
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,3,10.19,14.67,50.447805,51.9
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,4,11.14,14.14,59.954276,60.9
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,5,9.87,13.87,48.320067,49
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,6,10.5,13.99,50.986034,51.8
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,7,9.87,13.97,49.166086,49.9
E.grandis,1,Salto,2,92,204,10,2.2,94,354408,8,10.82,14.25,57.986382,58.9
E.grandis,1,Salto,3,99,305,41,4,92,143007,1,10.5,16.38,62.257617,62.8
E.grandis,1,Salto,3,99,305,41,4,92,143007,2,10.5,16.28,68.54277,69
E.grandis,1,Salto,3,99,305,41,4,92,143007,3,9.55,16.32,56.377349,57
E.grandis,1,Salto,3,99,305,41,4,92,143109,1,11.78,16.43,88.011848,88.8
E.grandis,1,Salto,3,99,305,41,4,92,143109,2,12.41,17.65,96.728574,97.5
E.grandis,1,Salto,3,99,305,41,4,92,143109,3,11.78,17.43,94.229845,95
E.grandis,1,Salto,3,99,305,41,4,92,143109,4,12.73,18.76,109.456721,110
E.grandis,1,Salto,3,99,305,41,4,92,143209,1,14.32,17.9,123.489736,124
E.grandis,1,Salto,3,99,305,41,4,92,143209,2,13.69,18.5,123.809361,124
E.grandis,1,Salto,3,99,305,41,4,92,143209,3,13.69,19.23,130.181477,130
E.grandis,1,Salto,3,99,305,41,4,92,143209,4,13.05,18.53,114.335162,115
E.grandis,1,Salto,3,99,305,52,3.6,92,58607,6,4.46,10.63,4.338779,8.08
E.grandis,1,Salto,3,99,305,52,3.6,92,58607,7,5.41,10.96,10.283387,12.4
